order_id,timestamp,action,commodity,qty_ton,price_baht_kg,counterparty,date,notes
71,2026-09-08 01:23:10,sell,รำสด,300,9.3,ไทยร่วมใจ,,โคราช
72,2026-09-08 05:21:16,buy,รำ,300,8.9,โรงสีพูลธนา อุดรธานี,,
73,2026-09-08 08:28:28,sell,รำนึ่ง,30,11.7,บจ.ไทยร่วมใจน้ำมันพืช,2026-09-09,บางไทร-BS
74,2026-09-08 08:28:28,sell,รำนึ่ง,30,11.8,บจ.ไทยร่วมใจน้ำมันพืช,2026-09-09,โคราช
75,2026-09-08 08:33:12,buy,รำ,300,8.8,โรงสีธนสรรค์ไรซ์,,
76,2026-09-08 08:33:12,buy,รำ,150,8.6,อีสเทรินส์ไรซ์,,
77,2026-09-08 08:47:39,buy,ปลายข้าวเล็ก,60,9.7,โรงสีศรีแสงดาวเพิ่มพูน,,รอนัดรับของจากทางโรงสี
78,2026-09-09 01:26:43,buy,รำดิบ,90,8.7,มโนรมย์ธัญญกิจ,2026-09-08,
79,2026-09-09 01:28:12,buy,รำ,30,8.6,โรงสีเปี่ยมสิน,,
80,2026-09-09 06:14:14,buy,รำมะลิ,30,8.7,โรงสีสหพัฒนา,,
81,2026-09-09 08:31:59,sell,ข้าวท่อน,500,11.4,คาร์กิลล์มีทส์ สระบุรี,,
82,2026-09-09 08:33:18,sell,รำ,1000,9.2,คาร์กิลล์มีทส์ สระบุรี,,
83,2026-09-09 08:33:29,sell,รำ,1000,9.3,คาร์กิลล์มีทส์ โคราช,,
84,2026-09-09 11:27:48,sell,ข้าวท่อน,90,11.3,ไทยฟูดส์กบินทร์,,
85,2026-09-10 01:52:14,buy,รำ,90,8.7,โรงสีพงศ์ไพโรจน์ พิจิตร,,
86,2026-09-10 03:23:14,buy,ข้าวท่อน,400,11.0,โรงสียี่สิบไพบูลย์,,
87,2026-09-10 04:45:40,buy,ข้าวท่อน,150,11.0,เกรียงชัย,,
88,2026-09-10 05:05:11,buy,รำสด,150,8.7,โรงสีห้วยกรดธัญญกิจ,,
89,2026-09-10 05:09:47,buy,รำสด,30,8.6,โรงสีวิจิตรธัญญา,,
90,2026-09-10 05:12:47,buy,รำ,30,8.6,โรงสีเอ อาร์ โคราช,,
91,2026-09-10 07:52:54,sell,รำ,60,9.2,CP,,CP KR
92,2026-09-10 07:52:54,sell,รำ,120,9.2,CP,,CP PT
93,2026-09-10 09:12:54,buy,รำดิบ,30,8.7,นครหลวงชัยนาท,2026-09-11,
94,2026-09-10 09:13:33,buy,รำดิบ,90,8.9,มโนรมย์ธัญญกิจ,,
95,2026-09-10 09:34:44,buy,รำ,90,8.6,โรงสีหวังดี,,
96,2026-09-10 11:08:06,sell,รำสด,90,9.3,แสงทองอาหารสัตว์,,ส่งในนาม นางสาวประภาพรรณ หมั่นพลศรี (ติ๋ว)
97,2026-09-11 04:34:38,buy,กากถั่ว,30,16.9,เฮียธงชัย,,กระสอบ
98,2026-09-11 04:42:24,sell,รำสด,200,9.4,เบทาโกร ฉะเชิงเทรา,,
99,2026-09-11 06:50:07,sell,รำ,60,9.3,CP KK,,
100,2026-09-11 09:31:40,buy,ท่อนดีดติดเหลือง,30,10.45,อาภาภรณ์,,ส่งโคราช
101,2026-09-11 10:45:16,buy,รำนึ่ง,150,10.2,ซีพี ธัญญาบูลย์,,
102,2026-09-12 01:40:13,sell,รำสด,300,9.3,ไทยร่วมใจโคราช,,
103,2026-09-12 04:06:08,buy,ข้าวโพด,90,9.4,พูลศรีวัฒนา,,
104,2026-09-12 04:41:13,buy,ข้าวท่อน,300,11.3,โรงสีสินอุดม,,รอนัดรับของจากทางโรงสี
105,2026-09-12 07:53:50,buy,ข้าวท่อน,120,11.2,โรงสี ช.สิริยี่สิบไพบูลย์,,รับของไม่เกินวันอังคารหน้า ของพร้อมขึ้นทั้งหมด
106,2026-09-12 08:09:20,buy,รำสด,30,8.7,โรงสีกมลการเกษตร,2026-09-14,นัดรับวันจันทร์
107,2026-09-12 08:30:17,buy,ข้าวท่อน,60,11.2,โรงสีศรีกรุงลาดกระบัง,,ของพร้อมขึ้น
108,2026-09-13 16:33:25,buy,ข้าวท่อน,300,11.35,โรงสีเตียใจ้ฮง,2026-09-12,
109,2026-09-14 01:31:59,buy,ข้าวท่อน,300,11.2,ธนภัทร,,
110,2026-09-14 03:23:54,buy,ข้าวท่อน,300,11.2,โรงสีสิงโตทอง,,
