from_lat,from_lon,to_lat,to_lon,km,source
14.71108,101.44291,15.05041,101.70358,61.6,google
14.71108,101.44291,13.40652,101.20732,255.7,google
14.71108,101.44291,13.7447,102.324,193.4,google
14.71108,101.44291,14.62893,103.40957,231.8,google
14.71108,101.44291,15.3708,100.13534,212.9,google
14.71108,101.44291,13.82633,101.25721,170.5,google
14.71108,101.44291,13.97256,102.7732,230.5,google
14.71108,101.44291,13.95154,100.97472,140.9,google
14.71352,100.82881,15.18526,100.23194,95.3,google
14.71352,100.82881,14.18789,100.47625,109.7,google
14.71352,100.82881,15.05041,101.70358,144.1,google
14.71352,100.82881,13.40652,101.20732,213.5,google
14.71352,100.82881,13.7447,102.324,222.9,google
14.71352,100.82881,14.62893,103.40957,313.0,google
14.71352,100.82881,15.3708,100.13534,122.6,google
14.71352,100.82881,13.82633,101.25721,139.6,google
14.71352,100.82881,13.97256,102.7732,280.6,google
14.71352,100.82881,13.95154,100.97472,103.8,google
14.73648,102.11758,15.18526,100.23194,252.4,google
14.73648,102.11758,14.18789,100.47625,230.1,google
14.73648,102.11758,15.05041,101.70358,70.0,google
14.73648,102.11758,13.40652,101.20732,222.6,google
14.73648,102.11758,13.7447,102.324,178.1,google
14.73648,102.11758,14.62893,103.40957,144.2,google
14.73648,102.11758,15.3708,100.13534,267.2,google
14.73648,102.11758,13.82633,101.25721,195.7,google
14.73648,102.11758,13.97256,102.7732,162.0,google
14.73648,102.11758,13.95154,100.97472,222.0,google
15.86157,102.01584,15.18526,100.23194,277.2,google
15.86157,102.01584,14.18789,100.47625,312.6,google
15.86157,102.01584,15.05041,101.70358,111.2,google
15.86157,102.01584,13.40652,101.20732,356.5,google
15.86157,102.01584,13.7447,102.324,312.0,google
15.86157,102.01584,14.62893,103.40957,261.8,google
15.86157,102.01584,15.3708,100.13534,281.3,google
15.86157,102.01584,13.82633,101.25721,334.1,google
15.86157,102.01584,13.97256,102.7732,294.5,google
15.86157,102.01584,13.95154,100.97472,304.6,google
17.01995,100.32026,15.18526,100.23194,225.4,google
17.01995,100.32026,14.18789,100.47625,358.9,google
17.01995,100.32026,15.05041,101.70358,335.5,google
